Subject,Course,Section,Room,Instructor,Credits,Classes/week,Instructor preference,Instructor Time preference,Course Time preference,,Course
ANTHC,10100,5,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",2,2,,,Morning,,ANTHC 10100
ANTHC,10100,5,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",2,1,,,Afternoon,,ANTHC 10100
ANTHC,10100,2,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",2,2,,,Evening,,ANTHC 10100
ANTHC,12600,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",2,2,,,Evening,,ANTHC 12600
ANTHC,12700,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",3,1,,,Morning,,ANTHC 12700
ANTHC,15100,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",2,2,,,Morning,,ANTHC 15100
ANTHC,20500,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",2,2,,,Evening,,ANTHC 20500
ANTHC,20900,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",2,2,,,Morning,,ANTHC 20900
ANTHC,21800,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",3,1,,,Afternoon,,ANTHC 21800
ANTHC,30100,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",2,2,,,Evening,,ANTHC 30100
ANTHC,30350,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",3,1,,,Afternoon,,ANTHC 30350
ANTHC,31000,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",2,1,,,Evening,,ANTHC 31000
ANTHC,31300,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",2,1,,,Evening,,ANTHC 31300
ANTHC,31400,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",2,2,,,Afternoon,,ANTHC 31400
