course,sections,rooms,instructors,time,credits
ANTHC 31000,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",Evening,2
ANTHC 31300,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",Evening,2
ANTHC 31400,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",Afternoon,2
ANTHC 31800,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",Evening,2
ANTHC 32060,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",Afternoon,2
ANTHC 32081,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",Morning,2
ANTHC 32166,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",Afternoon,2
ANTHC 40161,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",Afternoon,2
ANTHC 42659,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",Afternoon,2
ANTHP 10100,5,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",Morning,2
ANTHP 10100,7,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",Afternoon,2
ANTHP 10100,4,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",Evening,2
ANTHP 10500,3,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",Morning,1
ANTHP 10500,4,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",Afternoon,1
ANTHP 10500,1,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",Evening,1
ANTHP 30200,1,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",Afternoon,2
ANTHP 30600,1,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",Morning,2
ANTHP 40101,1,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",Morning,2
ANTHP 40150,1,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",Afternoon,2
ANTHP 40177,1,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",Evening,2
ARB 15000,1,"West Bldg W413,West Bldg W610,West Bldg W412","Abouelkhair Hager,Brown Deeadra Ann",Evening,2
ARB 25000,1,"West Bldg W413,West Bldg W610,West Bldg W412","Abouelkhair Hager,Brown Deeadra Ann",Morning,2
ARB 40100,1,"West Bldg W413,West Bldg W610,West Bldg W412","Abouelkhair Hager,Brown Deeadra Ann",Morning,2
ARTCR 22100,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Morning,4
ARTCR 22100,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Evening,4
ARTCR 22500,1,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Morning,4
ARTCR 22500,3,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Afternoon,4
ARTCR 23500,3,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Morning,4
ARTCR 23500,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Afternoon,4
ARTCR 25100,1,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Morning,4
ARTCR 25100,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Afternoon,4
ARTCR 25700,1,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Morning,4
ARTCR 25700,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Afternoon,4
ARTCR 25700,1,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Evening,4
ARTCR 27100,3,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Morning,4
ARTCR 27100,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Afternoon,4
